"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"LMN09-119",17.3749999999995,20.6749999999995,48.1849999999953
"N09-09",16.3499999999992,21.649999999999,45.6399999999958
"N18-1559",13.3999999999992,21.299999999999,45.6599999999958
"N18-1560",17.5499999999992,20.474999999999,46.2299999999958
"N18-1561",15.7999999999992,21.799999999999,44.4249999999958
"N18-1562",19.7999999999992,21.654999999999,45.6249999999958
"N18-1563",14.6499999999992,20.994999999999,46.8049999999958
"N18-1564",15.6999999999992,23.844999999999,40.4149999999958
"N18-1565",19.1499999999992,20.109999999999,48.7099999999958
"N18-1567",15.6499999999992,20.674999999999,46.2399999999958
"N18-1568",17.2499999999992,21.034999999999,48.0899999999958
"N18-1569",13.2499999999992,23.209999999999,41.7199999999958
"N18-1570",15.4999999999992,21.369999999999,45.0449999999958
"N18-1571",17.5499999999992,20.534999999999,47.2699999999958
"N18-1572",17.2999999999992,23.064999999999,43.1699999999958
"N18-1575",18.0999999999992,22.234999999999,46.0549999999958
"N18-1576",18.5999999999992,22.484999999999,44.1899999999958
"N18-1577",15.0999999999992,21.259999999999,46.9599999999958
"N18-1578",15.1499999999992,21.444999999999,45.8999999999958
"N18-1579",16.2999999999992,22.579999999999,42.9999999999958
"N18-1580",13.5999999999992,23.779999999999,38.4449999999958
"N18-1581",17.0499999999992,22.454999999999,43.5299999999958
"N18-1582",18.2499999999992,21.044999999999,47.7299999999958
"N18-1585",18.3499999999992,21.929999999999,43.8699999999958
"N18-1586",13.6499999999992,22.279999999999,43.9849999999958
"N18-1587",13.8499999999992,21.654999999999,43.1049999999958
"N18-1588",17.3499999999992,23.309999999999,42.5349999999958
"N18-1596",17.0499999999992,21.089999999999,44.9649999999958
"N18-1597",15.9999999999992,22.984999999999,41.8699999999958
"N18-1598",19.8499999999992,22.084999999999,45.4599999999958
"N18-1600",13.5999999999992,20.999999999999,44.6549999999958
"N18-1602",14.8499999999992,22.249999999999,43.1599999999958
"N18-1603",17.8499999999992,21.329999999999,46.0199999999958
"N18-1604",18.2999999999992,23.009999999999,42.7099999999958
"N18-1605",17.4499999999992,22.284999999999,45.4099999999958
"N18-1606",15.5999999999992,22.464999999999,43.8049999999958
"N18-1607",15.6499999999992,20.564999999999,47.4199999999958
"N18-1608",15.6999999999992,21.894999999999,42.5599999999958
"N18-1609",18.2999999999992,22.864999999999,46.1899999999958
"N18-1610",17.2499999999992,21.714999999999,45.3149999999958
"N18-1611",16.0499999999992,20.494999999999,47.3949999999958
"N18-1612",16.9499999999992,20.314999999999,47.8299999999958
"N18-1613",16.1999999999992,21.624999999999,43.4899999999958
"N18-1614",15.0999999999992,20.669999999999,45.0549999999958
"N18-1615",16.7999999999992,22.614999999999,43.4949999999958
"N18-1616",16.2499999999992,22.639999999999,43.1549999999958
"N18-1617",13.1499999999992,22.469999999999,42.3749999999958
"N18-1619",16.0499999999992,21.424999999999,44.0249999999958
"N18-1620",16.2999999999992,22.524999999999,42.3899999999958
"N18-1621",18.8499999999992,18.649999999999,49.0349999999958
"N18-1622",13.8999999999992,22.934999999999,42.1099999999958
"N18-1623",15.8999999999992,20.469999999999,47.3349999999958
"N18-1624",13.3999999999992,22.624999999999,43.9099999999958
"N18-1626",14.7499999999992,20.524999999999,47.7449999999958
"N18-1627",15.7499999999992,23.159999999999,43.8649999999958
"N18-1628",14.7999999999992,20.719999999999,48.0199999999958
"N18-1629",18.4499999999992,19.089999999999,49.3549999999958
"N18-1630",17.0999999999992,21.109999999999,45.2549999999958
"N18-1631",18.4999999999992,21.184999999999,46.7999999999958
"N18-1632",16.0499999999992,22.224999999999,45.2899999999958
"N18-1633",16.8999999999992,21.109999999999,44.8399999999958
"N18-1634",17.5999999999992,21.674999999999,44.1299999999958
