Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
CB-318,15.15,21.915,45.525
CB-346,14.6,20.895,45.855
CB-351,15.05,19.425,48.58
CB-372,16.15,20.01,47.355
CB-383,15.75,20.47,46.955
CB-406,13.45,19.505,48.69
CB-421,17.25,20.045,47.89
CB-423,12.95,19.575,48.72
CB-425,15.7,20.205,49.18
CB-429,14.45,19.715,48.505
CB-430,13.8,20.305,45.995
CB-433,15.45,19.51,49.62
CB-436,13.75,20.525,48.025
CB-443,12.5,19.87,48.225
CB-446,14.95,20.21,48.05
CB-448,12.8,19.61,48.73
CB-472,13.85,20.445,49.125
CB-491,14.1,21.635,43.85
CB-511,15.1,21.425,43.77
CB-512,14.5,20.29,47.7
CB-521,16,19.165,49.955
CB-534,13.85,19.725,47.595
CB-541,15.35,21.655,45.84
N18-1831,15.55,18.605,50.715
N18-1832,15.35,20.69,46.74
N18-1833,17.15,22.27,44.61
N18-1834,13.2,21.7,44.98
N18-1835,15.65,21.4,47.315
N18-1836,14.8,21.35,45.285
N18-1837,15.5,20.965,46.475
N18-1838,14.6,21.215,47.775
N18-1839,9.6,21.26,45.27
N18-1840,13.95,22.495,44.35
N18-1841,17.85,22.31,43.735
N18-1842,15.55,20.6,47.635
N18-1843,16.9,20.73,48.555
N18-1844,14.8,21.355,45.42
N18-1845,14.05,19.5,48.045
N18-1846,14.7,20.77,46.39
N18-1847,13.85,20.45,46.035
N18-1848,17.6,22.06,43.945
N18-1849,14.7,21.44,43.66
N18-1850,13.4,20.38,47.49
N18-1851,12.45,19.43,47.985
N18-1853,16.65,19.99,48.18
N18-1854,15,19.965,47.535
N18-1855,17.15,20.255,48.775
N18-1856,15.15,19.31,48.62
N18-1857,15.7,21.975,45.305
N18-1859,14.7,21.02,47.325
N18-1860,14.9,20.835,48.07
N18-1861,13.45,19.5,49.53
N18-1862,15.65,20.82,47.055
N18-1863,14.2,21.115,44.845
N18-1864,14.05,18.865,51.08
N18-1866,12.25,21.215,45.66
N18-1867,14.85,20.02,47.14
N18-1868,12.8,19.94,49.355
N18-1869,16.25,19.945,48.675
N18-1870,13.8,19.895,48.88
N18-1871,15.4,21.42,45.435
N18-1873,13.6,20.34,45.43
N18-1874,15.95,21.46,46.1
N18-1875,13.55,19.455,49.095
N18-1876,15.75,20.135,46.835
N18-1877,13.8,18.935,49.72
N18-1878,15.9,21.24,46.555
N18-1879,14.2,20.705,46.86
N18-1880,16.3,21.15,44.465
N18-1881,13.2,20.66,47.555
N18-1883,14.15,19.95,46.795
N18-1884,13.15,19.94,47.885
N18-1885,14.55,20.995,45.895
N18-1886,15.45,19.605,49.08
N18-1887,16.7,20.47,47.665
N18-1888,15.95,22.205,45.52
N18-1889,14.6,19.685,49.085
N18-1890,14.5,21.23,46.845
N18-1891,15.75,20.49,47.535
N18-1892,14.15,21.11,44.25
N18-1893,15.8,20.55,47.115
N18-1894,14,21.945,46.035
N18-1895,15.95,20.175,47.44
N18-1896,12.5,20.71,45.62
N18-1897,14.15,20.67,47.635
N18-1898,14.6,21.51,44.285
N18-1899,14.05,19.29,48.11
N18-1900,12.55,20.47,46.8
N18-1901,14.9,21.805,44.33
N18-1902,13.2,20.79,47.475
N18-1903,15.4,19.56,48.275
N18-1904,16.55,21.615,44.635
N18-1905,15.25,22.52,45.565
N18-1906,17.7,21.44,45.665
N18-1907,15.4,18.265,49.935
N18-1908,17.2,21.445,44.92
N18-1909,20.2,22,44.365
N18-1910,15.95,20.475,46.265
N18-1911,16.8,20.09,48.145
N18-1912,14.15,21.25,46.92
N18-1913,15.3,19.855,48.425
N18-1914,16.9,22.225,42.67
N18-1915,16.3,21.625,44.865
N18-1916,14.55,20.745,46.21
N18-1917,16,22.255,43.16
N18-1918,18.8,21.45,44.28
N18-1919,16.5,19.43,49.395
N18-1920,18.1,21.02,45.735
N18-1921,14.55,20.14,47.795
N18-1922,15.35,21.115,44.325
N18-1923,15.85,20.51,45.93
N18-1924,14.3,21.245,45.22
N18-1925,17.4,20.825,44.955
N18-1926,15.3,20.805,46.205
N18-1927,17.85,20.7,46.535
N18-1928,15.7,21.165,45.26
N18-1929,15.35,19.51,49.185
N18-1930,18.3,22.105,42.46
N18-1931,14.75,19.255,49.775
N18-1932,20.35,21.68,45.3
N18-1933,14.45,19.885,48.55
N18-1934,17.15,21.47,44.83
N18-1936,17.65,22.2,45.585
N18-1937,17.2,21.69,45.16
N18-1939,13.6,19.585,47.315
N18-1941,13.75,19.635,48.31
N18-1942,14.2,20.315,48.155
N18-1944,11.75,19.875,47.83
N18-1945,13.85,20.91,48.275
N18-1946,13.95,20.915,46.5
N18-1947,14.2,20.435,47.85
N18-1948,15.95,18.775,50.185
N18-1949,14.1,21.285,44.97
N18-1950,16,20.42,46.755
N18-1951,15.3,20.765,47.26
N18-1952,15.3,21.215,47.06
N18-1953,19.05,21.975,45.44
N18-1954,18.75,20.65,46.815
N18-1955,16,21.075,46.17
N18-1956,15,21.33,46.03
N18-1957,16.45,20.645,45.88
N18-1958,12.75,19.955,48.425
N18-1959,15.5,19.39,47.66
N18-1960,15.35,19.08,49.015
N18-1961,14.05,20.455,44.475
N18-1962,15.25,20.595,47.05
N18-1963,17.65,20.865,47.105
N18-1964,14.4,19.075,48.92
N18-1965,16.65,20.24,48.885
N18-1966,14.85,19.785,47.93
N18-1967,17.1,21.16,45.765
N18-1968,17.4,20.75,45.61
N18-1969,15.5,20.005,47.56
N18-1970,15.85,20.55,46.215
N18-1971,13.65,19.835,48.485
N18-1972,15.8,19.865,46.635
N18-1973,17.55,21.945,45.88
N18-1974,15,20.255,46.14
N18-1975,14.05,21.565,45.32
N18-1977,13.7,17.915,49.765
N18-1978,14.7,20.52,47.335
N18-1979,14.1,19,48.765
N18-1980,14.15,21.2,44.75
N18-1981,14.4,20.195,47.575
N18-1982,16.55,20.88,46.585
N18-1983,13.95,21.795,43.285
N18-1984,14.15,20.315,46.16
N18-1985,16.05,19.68,48.765
N18-1986,14.1,19.785,49.39
N18-1987,17.75,19.665,45.36
N18-1988,14.85,19.325,49.925
N18-1990,15.1,21.175,45.2
N18-1991,17.95,19.205,48.385
N18-1992,16.95,20.97,46.2
N18-1993,15.55,22.39,43.695
N18-1994,11.6,20.63,46.435
N18-1995,15.2,21.825,43.21
N18-1996,16.4,21.195,45.555
N18-1997,15.4,21.6,45.785
N18-1998,15.85,21.115,44.55
N18-1999,15.45,19.555,49.105
N18-2000,17.8,22.445,44.38
N18-2001,15.65,21.045,45.16
N18-2002,16,21.15,44.805
N18-2003,14.55,21.085,44.64
N18-2004,13.7,20.085,47.895
N18-2005,13.8,19.995,46.605
N18-2006,15.35,20.535,47.62
N18-2007,16,22.735,43.365
N18-2008,13.85,19.545,45.455
N18-2009,15,20.33,47.155
N18-2011,14.3,19.625,48.62
N18-2012,11.95,20.475,46.155
N18-2013,15.7,20.97,44.365
N18-2014,15.75,19.575,49.09
N18-2015,14.6,19.09,48.785
LMN09-19,18.91,19.78,49.72
N13-47,15.21,25.35,39.21
