Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
CB-318,16.28333333,22.94166667,44.27333333
CB-346,17.08333333,22.16833333,44.15833333
CB-351,16.4,20.66166667,47.62
CB-372,15.95,21.98833333,44.84
CB-383,17.33333333,21.125,45.71666667
CB-406,14.06666667,21.88666667,45.235
CB-421,19.08333333,21.82333333,46.41333333
CB-423,15.1,20.70833333,48.08166667
CB-425,17.46666667,20.66166667,48.965
CB-429,16.88333333,20.54333333,47.995
CB-430,14.88333333,21.32333333,44.985
CB-433,16.91666667,21.53666667,46.66
CB-436,15.13333333,21.68333333,47.245
CB-443,14.08333333,21.63166667,47.01833333
CB-446,15.2,21.955,45.43
CB-448,14.33333333,20.72833333,47.40166667
CB-472,14.3,21.37833333,47.885
CB-491,15.05,22.72,42.79666667
CB-511,16.18333333,23.095,41.33166667
CB-512,16.11666667,21.44166667,46.58333333
CB-521,17.11666667,20.81166667,47.605
CB-534,14.51666667,19.74166667,47.79166667
CB-541,16.48333333,23.02166667,44.505
LMN09-19,18.875,19.8325,49.8
N13-47,14.9,25.3,39.2
N18-1831,17.48333333,20.23166667,48.44
N18-1832,17.56666667,22.14833333,44.65666667
N18-1833,18.66666667,23.11166667,45.02333333
N18-1834,15.11666667,22.805,44.455
N18-1835,16.33333333,22.24666667,46.62166667
N18-1836,15.66666667,22.17,44.115
N18-1837,17.78333333,21.82833333,45.51666667
N18-1838,15.56666667,21.5,47.09666667
N18-1839,10.56666667,21.93333333,44.72
N18-1840,15.81666667,23.48833333,43.67666667
N18-1841,19.5,22.64,43.01666667
N18-1842,18.21666667,21.22,46.58833333
N18-1843,17.3,22.38166667,45.84333333
N18-1844,17.1,22.66666667,44.48833333
N18-1845,15.93333333,21.13333333,45.33833333
N18-1846,16.86,21.63,44.25
N18-1847,15.86666667,21.64333333,44.98
N18-1848,18.86666667,23.41,41.13166667
N18-1849,15.2,22.105,42.88666667
N18-1850,14.21666667,21.43166667,45.94333333
N18-1851,14.85,20.42333333,46.81333333
N18-1853,17.23333333,20.99833333,47.7
N18-1854,17.43333333,21.48833333,46.08333333
N18-1855,18.51666667,21.64666667,47.19
N18-1856,16.71666667,20.405,47.80666667
N18-1857,17.01666667,22.915,44.84333333
N18-1859,16.38333333,21.98,45.41333333
N18-1860,16.33333333,21.51166667,47.41
N18-1861,15.3,21.26166667,47.43
N18-1862,16.95,21.43166667,46.21333333
N18-1863,15.55,22.23166667,42.79166667
N18-1864,15.48333333,20.68,48.79833333
N18-1866,13.03333333,23.06166667,43.08833333
N18-1867,17.06666667,21.54,44.92166667
N18-1868,14.81666667,20.55,48.38833333
N18-1869,17.48333333,20.65166667,48.07
N18-1870,15.21666667,21.275,47.66
N18-1871,17.48333333,22.995,43.75
N18-1873,15.1,21.66333333,44.11
N18-1874,17.56666667,22.665,44.73166667
N18-1875,16.2,20.64333333,48.01
N18-1876,18.1,21.05166667,46.58666667
N18-1877,15.88333333,20.68,47.62166667
N18-1878,17.88333333,21.53833333,46.105
N18-1879,16.51666667,20.83,46.17333333
N18-1880,16.96666667,21.49166667,44.07
N18-1881,13.4,22.32833333,44.875
N18-1883,14.41666667,21.43166667,44.63666667
N18-1884,14.51666667,21.70333333,46.23166667
N18-1885,15.86666667,22.00166667,45.37
N18-1886,17.2,21.15333333,47.43166667
N18-1887,17.41666667,21.708,45.94
N18-1888,16.43333333,23.83,42.84333333
N18-1889,16.28333333,20.69833333,48.735
N18-1890,17.2,21.47166667,45.71
N18-1891,19,20.65833333,48.15
N18-1892,15.2,21.66,44.01166667
N18-1893,16.9,21.71333333,45.50666667
N18-1894,15.46666667,23.03666667,44.87
N18-1895,16.88333333,22.32166667,45.53666667
N18-1896,14.43333333,22.325,43.07333333
N18-1897,16.61666667,21.635,46.99166667
N18-1898,15.55,23.08833333,43.18333333
N18-1899,16.48333333,18.93833333,49.54166667
N18-1900,16.25,21.96833333,44.84
N18-1901,17.95,22.60166667,44.16833333
N18-1902,18.41666667,21.22666667,46.87666667
N18-1903,17.01666667,20.20333333,48.28666667
N18-1904,17.75,21.85,44.495
N18-1905,17.66666667,23.88333333,44.45333333
N18-1906,17.66666667,22.51166667,44.62166667
