"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"CB-318",14.5500000000022,24.4169081610372,40.4800988199022
"CB-346",15.95,23.3819081610372,40.9300988199044
"CB-351",15.85,20.7519081610372,47.2950988199043
"CB-372",14.1,23.9819081610372,40.6100988199043
"CB-383",18.95,21.8469081610372,44.2750988199044
"CB-406",13.5,23.5869081610372,40.9950988199043
"CB-421",20.15,22.3819081610372,46.3200988199044
"CB-423",15.75,21.7769081610372,46.0550988199043
"CB-425",17.55,21.3119081610372,48.0850988199043
"CB-429",17.1,21.3219081610372,46.6050988199043
"CB-430",14.05,21.8069081610372,43.9350988199043
"CB-433",16.2,22.5719081610372,44.1500988199044
"CB-436",14.9,22.2719081610372,46.2400988199043
"CB-443",14.5,22.7869081610372,45.2800988199043
"CB-446",13.25,24.1569081610372,39.8850988199043
"CB-448",13.4,22.1019081610372,44.5900988199043
"CB-472",14.1,22.1969081610372,45.8900988199043
"CB-491",14.3,23.7119081610372,40.4050988199043
"CB-511",15.1,24.6669081610372,37.6500988199044
"CB-512",16.6,21.7369081610372,45.7300988199043
"CB-521",15.95,21.9769081610372,44.2050988199043
"CB-534",14.85,20.1069081610372,46.9500988199043
"CB-541",15.8,23.6119081610372,43.3450988199044
"LMN09-19",18.75,19.6144081610372,49.9475988199043
"N13-47",13.55,25.5319081610372,39.1725988199043
"N18-1831",18.3,20.8169081610372,47.8700988199043
"N18-1832",17.8,22.8519081610372,43.6150988199044
"N18-1833",18.6,24.0319081610372,43.9100988199043
"N18-1834",15.55,23.0919081610372,43.1650988199044
"N18-1835",15.95,22.4369081610372,46.4650988199043
"N18-1836",15.1,23.7869081610372,41.3200988199043
"N18-1837",18.45,21.8169081610372,45.7850988199043
"N18-1838",15.75,21.5069081610372,46.8900988199043
"N18-1839",10.45,21.7619081610372,44.6700988199043
"N18-1840",16.8,23.4069081610372,43.6650988199044
"N18-1841",20.3,22.8269081610372,42.9400988199043
"N18-1842",19.6,21.4219081610372,46.3150988199043
"N18-1843",15.95,24.5019081610372,41.0500988199043
"N18-1844",17.8,22.8119081610372,44.6250988199043
"N18-1845",15.35,22.8569081610372,40.8300988199044
"N18-1846",20.6085797419016,22.4317595250349,42.6919876123939
"N18-1847",16.6,22.4519081610372,43.1500988199044
"N18-1848",16.5,24.6519081610372,36.5750988199043
"N18-1849",13.95,23.3269081610372,41.4350988199043
"N18-1850",14.5,21.5619081610372,45.8550988199043
"N18-1851",15.8,20.4719081610372,47.0450988199043
"N18-1853",17.8,22.2469081610372,45.8750988199043
"N18-1854",17.85,22.5419081610372,43.7350988199043
"N18-1855",18.5,22.4519081610372,45.6900988199043
"N18-1856",17,21.2769081610372,46.7750988199043
"N18-1857",16.5,23.2669081610372,44.7150988199043
"N18-1859",16.9,22.6869081610372,44.0700988199044
"N18-1860",15.95,21.9719081610372,46.1650988199043
"N18-1861",16.3085797419016,21.7569081610372,47.0450988199043
"N18-1862",16.35,22.4969081610372,43.4350988199043
"N18-1863",14.2,23.7069081610372,38.3200988199044
"N18-1864",15.65,21.4919081610372,47.7900988199044
"N18-1866",12.35,24.7719081610372,38.7100988199044
"N18-1867",17.15,22.3169081610372,43.3000988199043
"N18-1868",15.45,20.6719081610372,47.5300988199043
"N18-1869",17.35,22.1519081610372,45.9050988199043
"N18-1870",15.4,22.2019081610372,46.8050988199044
"N18-1871",17.45,23.9319081610372,42.0750988199043
"N18-1873",15.1,22.8119081610372,41.9350988199043
"N18-1874",17.25,23.1969081610372,43.5300988199043
"N18-1875",17.15,20.9769081610372,47.7400988199043
"N18-1876",19.75,21.2719081610372,46.9150988199043
"N18-1877",15.9,22.3669081610372,44.4200988199043
"N18-1878",19.2,21.2519081610372,46.5850988199043
"N18-1879",17.15,21.9719081610372,44.1350988199043
"N18-1880",16.8,21.5669081610372,44.2450988199043
"N18-1881",11.65,25.0669081610372,37.9650988199043
"N18-1883",13.4,22.5419081610372,41.9050988199043
"N18-1884",15.1,21.9669081610372,46.7250988199043
"N18-1885",15.4,22.7469081610372,43.7900988199044
"N18-1886",16.5,22.4919081610372,45.0450988199043
"N18-1887",17.75,22.5219081610372,44.4000988199044
"N18-1888",14.95,25.7319081610372,37.5400988199044
